CASE_NUMBER,CASE_STATUS,VISA_CLASS,DECISION_DATE,EMPLOYER_NAME,SOC_TITLE,JOB_TITLE,TOTAL_WORKER_POSITIONS,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY
I-200-25001-000001,CERTIFIED,H-1B,2025-01-15,AMAZON.COM SERVICES LLC,Software Developers,Software Development Engineer II,1,165000,Year
I-200-25001-000002,CERTIFIED,H-1B,2025-01-15,AMAZON.COM SERVICES LLC,Software Developers,Software Development Engineer III,2,195000,Year
I-200-25001-000003,DENIED,H-1B,2025-01-20,AMAZON.COM SERVICES LLC,Data Scientists,Applied Scientist,1,180000,Year
I-200-25001-000010,CERTIFIED,H-1B,2025-02-01,GOOGLE LLC,Software Developers,Software Engineer,1,210000,Year
I-200-25001-000011,CERTIFIED,H-1B,2025-02-01,GOOGLE LLC,Software Developers,Senior Software Engineer,1,260000,Year
I-200-25001-000012,WITHDRAWN,H-1B,2025-02-10,GOOGLE LLC,Product Managers,Product Manager,1,225000,Year
I-200-25001-000020,CERTIFIED,H-1B,2025-03-01,WAL-MART ASSOCIATES INC,Software Developers,Senior Software Engineer,1,155000,Year
I-200-25001-000021,CERTIFIED,H-1B,2025-03-02,WAL-MART ASSOCIATES INC,Data Scientists,Senior Data Scientist,1,170000,Year
I-200-25001-000030,CERTIFIED,H-1B,2025-03-15,APPLE INC,Software Developers,Software Engineer,3,205000,Year
I-200-25001-000031,CERTIFIED,E-3,2025-03-15,APPLE INC,Hardware Engineers,Hardware Engineer,1,40,Hour
I-200-25001-000040,CERTIFIED,H-1B,2025-04-01,META PLATFORMS INC,Software Developers,Production Engineer,2,220000,Year
I-200-25001-000050,CERTIFIED,H-1B,2025-04-10,TYSON FOODS INC,Veterinarians,Veterinarian,1,135000,Year
I-200-25001-000060,CERTIFIED,H-1B,2025-04-20,SOMECORP HOLDINGS LLC,Accountants,Senior Accountant,1,95000,Year
