make,model,year,fuelType1,fuelType2,atvType,comb08,combE,co2TailpipeGpm,phevBlended
Tesla,Model 3 Long Range AWD,2024,Electricity,,EV,131,131,0,
Tesla,Model Y Performance,2024,Electricity,,EV,112,112,0,
Tesla,Model S Plaid,2024,Electricity,,EV,101,101,0,
Ford,F-150 Lightning,2024,Electricity,,EV,70,70,0,
Ford,Mustang Mach-E AWD,2024,Electricity,,EV,89,89,0,
Ford,F-150 XL 4WD,2024,Regular Gasoline,,,19,,468.0,
Ford,Escape PHEV FWD,2024,Regular Gasoline,Electricity,Plug-in Hybrid,40,105,222.0,true
Chevrolet,Bolt EUV,2024,Electricity,,EV,115,115,0,
Chevrolet,Silverado 1500 4WD,2024,Regular Gasoline,,,17,,522.0,
Chevrolet,Equinox EV FWD,2024,Electricity,,EV,103,103,0,
Toyota,Prius LE,2024,Regular Gasoline,,Hybrid,57,,156.0,
Toyota,Prius Prime,2024,Regular Gasoline,Electricity,Plug-in Hybrid,52,114,170.0,true
Toyota,bZ4X FWD,2024,Electricity,,EV,104,104,0,
Toyota,Camry LE,2024,Regular Gasoline,,,32,,278.0,
Toyota,Tundra 4WD,2024,Regular Gasoline,,,19,,468.0,
Honda,Civic LX,2024,Regular Gasoline,,,36,,247.0,
Honda,Accord Hybrid,2024,Regular Gasoline,,Hybrid,48,,185.0,
Honda,Prologue AWD,2024,Electricity,,EV,89,89,0,
Hyundai,Ioniq 5 SE RWD,2024,Electricity,,EV,114,114,0,
Hyundai,Kona Electric SEL,2024,Electricity,,EV,120,120,0,
Hyundai,Elantra SE,2024,Regular Gasoline,,,37,,240.0,
Kia,EV6 Light RWD,2024,Electricity,,EV,117,117,0,
Kia,Niro EV Wind,2024,Electricity,,EV,113,113,0,
Kia,Forte LX,2024,Regular Gasoline,,,34,,261.0,
Nissan,Leaf S,2024,Electricity,,EV,111,111,0,
Nissan,Ariya Engage FWD,2024,Electricity,,EV,93,93,0,
Nissan,Sentra S,2024,Regular Gasoline,,,33,,269.0,
BMW,i4 eDrive35,2024,Electricity,,EV,109,109,0,
BMW,iX xDrive50,2024,Electricity,,EV,86,86,0,
BMW,X5 xDrive40i,2024,Premium Gasoline,,,23,,388.0,
Mercedes-Benz,EQE 350 4MATIC,2024,Electricity,,EV,87,87,0,
Mercedes-Benz,EQS 450+,2024,Electricity,,EV,97,97,0,
Mercedes-Benz,GLC 300 4MATIC,2024,Premium Gasoline,,,25,,355.0,
Rivian,R1T Dual Motor Large,2024,Electricity,,EV,73,73,0,
Rivian,R1S Dual Motor Large,2024,Electricity,,EV,71,71,0,
Lucid,Air Pure RWD,2024,Electricity,,EV,121,121,0,
Lucid,Air Touring AWD,2024,Electricity,,EV,108,108,0,
Polestar,2 Long Range Single Motor,2024,Electricity,,EV,107,107,0,
Volkswagen,ID.4 Pro RWD,2024,Electricity,,EV,98,98,0,
Volkswagen,Jetta S,2024,Regular Gasoline,,,35,,254.0,
