Partner Name,Parent Company,Fleet Size,Partnership Year,Partnership Tier
"Amazon Logistics, Inc.","Amazon.com, Inc.",18500,2018,SmartWay Affiliate
"FedEx Freight","FedEx Corporation",10200,2005,SmartWay Carrier
"FedEx Ground","FedEx Corporation",36000,2005,SmartWay Carrier
"FedEx Express","FedEx Corporation",46000,2004,SmartWay Carrier
"UPS Inc.","United Parcel Service",119000,2004,SmartWay Carrier
"Walmart Transportation, LLC","Walmart Inc.",9500,2006,SmartWay Carrier
"J.B. Hunt Transport, Inc.","J.B. Hunt Transport Services",12500,2006,SmartWay Carrier
"Schneider National Carriers, Inc.","Schneider National",10800,2004,SmartWay Carrier
"Werner Enterprises, Inc.","Werner Enterprises",7700,2005,SmartWay Carrier
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line",10400,2007,SmartWay Carrier
"Saia Inc.","Saia",5800,2008,SmartWay Carrier
"Estes Express Lines","Estes Express",8800,2006,SmartWay Carrier
"Ryder System, Inc.","Ryder System",8400,2005,SmartWay Carrier
"Hub Group, Inc.","Hub Group",3200,2007,SmartWay Carrier
"Landstar System, Inc.","Landstar System",10800,2006,SmartWay Carrier
"Knight-Swift Transportation","Knight-Swift Transportation Holdings",23000,2004,SmartWay Carrier
"XPO Logistics, Inc.","XPO Logistics",8200,2005,SmartWay Carrier
"Maersk Line Limited","A.P. Moller-Maersk",1200,2010,SmartWay Carrier
"Covenant Transport Solutions","Covenant Logistics Group",2100,2006,SmartWay Carrier
"Sysco Corporation Fleet","Sysco",14000,2008,SmartWay Carrier
"US Foods Inc. Fleet","US Foods",6500,2009,SmartWay Carrier
"Performance Food Group","Performance Food Group",5200,2010,SmartWay Carrier
"Costco Wholesale Fleet","Costco Wholesale",2400,2009,SmartWay Carrier
"Target Transportation","Target Corporation",1500,2009,SmartWay Carrier
"Home Depot Transportation","The Home Depot",3100,2007,SmartWay Carrier
"PepsiCo Fleet","PepsiCo, Inc.",16000,2005,SmartWay Carrier
"Coca-Cola Refreshments","The Coca-Cola Company",10500,2005,SmartWay Carrier
"Tyson Foods Transportation","Tyson Foods",4800,2006,SmartWay Carrier
"Cargill Meat Solutions","Cargill, Incorporated",3200,2008,SmartWay Carrier
"Generic Random LLC","Generic Random LLC",75,2018,SmartWay Carrier
