respondent,action_type,penalty_jpy,date,url
Google LLC,Abuse of dominance (Yahoo search advertising commitments),0,2024-04-22,https://www.jftc.go.jp/en/pressreleases/yearly-2024/April/240422.html
Apple Inc.,App Store anti-steering commitments,0,2021-09-02,https://www.jftc.go.jp/en/pressreleases/yearly-2021/September/210902.html
Amazon Japan G.K.,Resale price restrictions / abuse of superior bargaining position,0,2023-02-22,https://www.jftc.go.jp/en/pressreleases/yearly-2023/February/230222.html
Toyota Motor Corporation,Subcontractor pricing - subcontract law warnings,0,2024-04-01,https://www.jftc.go.jp/en/pressreleases/yearly-2024/April/240401.html
Mitsubishi Electric Corporation,Bid-rigging - power equipment,7195400000,2016-03-29,https://www.jftc.go.jp/en/pressreleases/yearly-2016/March/160329.html
Bridgestone Corporation,Cartel - marine hose,18007000000,2010-02-09,https://www.jftc.go.jp/en/pressreleases/yearly-2010/February/100209.html
Yamato Holdings Co. Ltd,Bid-rigging - government deliveries,2310000000,2018-06-21,https://www.jftc.go.jp/en/pressreleases/yearly-2018/June/180621.html
Asahi Group Holdings Ltd,Beer cartel investigation - closed without action,0,2019-12-25,https://www.jftc.go.jp/en/pressreleases/yearly-2019/December/191225.html
Kirin Holdings Company Ltd,Beer cartel investigation - closed without action,0,2019-12-25,https://www.jftc.go.jp/en/pressreleases/yearly-2019/December/191225.html
Rakuten Group Inc.,Mobile market entry / unilateral fee changes,0,2020-04-10,https://www.jftc.go.jp/en/pressreleases/yearly-2020/April/200410.html
LINE Corporation,Privacy data oversight - subscribers,0,2021-04-26,https://www.jftc.go.jp/en/pressreleases/yearly-2021/April/210426.html
Komatsu Ltd,Bid-rigging warning,0,2019-09-10,https://www.jftc.go.jp/en/pressreleases/yearly-2019/September/190910.html
Hitachi Ltd,Bid-rigging - power equipment,4495000000,2016-03-29,https://www.jftc.go.jp/en/pressreleases/yearly-2016/March/160329.html
