respondent,action_type,penalty_nzd,date,url
ANZ Bank New Zealand Ltd,Misleading insurance representations,15000000,2020-03-26,https://comcom.govt.nz/news-and-media/media-releases/2020/anz-fined-15-million-for-misleading-insurance-customers
Vodafone NZ Ltd,Misleading "fibre" broadband claims,3675000,2017-12-19,https://comcom.govt.nz/news-and-media/media-releases/2017/vodafone-fined-3.675-million
Air New Zealand Ltd,Cartel - air cargo surcharges,7500000,2013-12-13,https://comcom.govt.nz/news-and-media/media-releases/2013/air-nz-cartel-fine
Cathay Pacific Airways Ltd,Cartel - air cargo,12500000,2015-03-31,https://comcom.govt.nz/news-and-media/media-releases/2015/cathay-pacific-cartel
Bunnings Ltd,Misleading "lowest prices" guarantee,365000,2021-08-25,https://comcom.govt.nz/news-and-media/media-releases/2021/bunnings-prosecution
Spark New Zealand Trading Ltd,Misleading mobile plan,675000,2019-11-21,https://comcom.govt.nz/news-and-media/media-releases/2019/spark-fined
Foodstuffs North Island Ltd,Misleading specials,3250000,2020-12-15,https://comcom.govt.nz/news-and-media/media-releases/2020/foodstuffs-fined
Briscoe Group Ltd,Misleading sale advertising,400000,2018-09-13,https://comcom.govt.nz/news-and-media/media-releases/2018/briscoes-fined
Visy Board Pty Ltd,Cartel - corrugated boxes,3600000,2014-09-04,https://comcom.govt.nz/news-and-media/media-releases/2014/visy-cartel
Mitre 10 (New Zealand) Ltd,Misleading flooring advertising,150000,2019-06-20,https://comcom.govt.nz/news-and-media/media-releases/2019/mitre-10-fined
