defendant,offence,fine_gbp,date,url
Tesco Stores Ltd,Fall from height fatality - employee,733000,2017-12-01,https://press.hse.gov.uk/2017/12/01/tesco-fined-after-worker-died-falling-from-cage
DHL Services Ltd,Workplace transport injury,1900000,2019-03-25,https://press.hse.gov.uk/2019/03/25/dhl-fined-after-worker-killed-by-reversing-vehicle
Network Rail Infrastructure Ltd,Fatal level crossing accident,4000000,2014-09-12,https://press.hse.gov.uk/2014/09/12/network-rail-fined-after-double-fatality-elsenham
Rolls-Royce plc,Asbestos exposure,1700000,2020-05-15,https://press.hse.gov.uk/2020/05/15/rolls-royce-fined-following-asbestos-exposure
Whirlpool UK Appliances Ltd,Tumble dryer fire risk failures,800000,2019-06-21,https://press.hse.gov.uk/2019/06/21/whirlpool-fined-after-dryer-fire-investigation
Greggs plc,Worker injury - falling object,400000,2018-11-09,https://press.hse.gov.uk/2018/11/09/greggs-fined-after-employee-injury
Iceland Foods Ltd,Refrigeration gas exposure,2500000,2019-07-30,https://press.hse.gov.uk/2019/07/30/iceland-foods-fined-after-employee-died
Conoco Phillips (UK) Ltd,Offshore gas release,3000000,2016-04-18,https://press.hse.gov.uk/2016/04/18/conocophillips-fined-after-gas-leaks-on-offshore-platforms
Travis Perkins Trading Company Ltd,Workplace transport - serious injury,2000000,2018-02-26,https://press.hse.gov.uk/2018/02/26/travis-perkins-fined-after-worker-killed-by-forklift
Wincanton Group Ltd,Forklift fatality,1400000,2019-12-09,https://press.hse.gov.uk/2019/12/09/wincanton-fined-after-worker-killed
Sainsbury's Supermarkets Ltd,Worker injury,1000000,2019-08-12,https://press.hse.gov.uk/2019/08/12/sainsburys-fined-after-employee-injury
Coca-Cola European Partners GB Ltd,Machinery safety failure,1370000,2018-05-15,https://press.hse.gov.uk/2018/05/15/coca-cola-fined-after-employee-injury
